week,date,display,type,topic,resources,note
1,2024-09-04,,class,Welcome & warmup,,
1,2024-09-06,,class,"Solving systems of linear equations, One.I",[notes](/files/201/lectures/week01.friday.pdf) ❦ [demo](https://www.desmos.com/3d/eol4kcre6w),
2,2024-09-09,,class,"Reduced echelon form, One.III",[notes](/files/201/lectures/week02.monday.pdf) ❦ [demo](https://www.desmos.com/calculator/vmvwwjqb5z),
2,2024-09-11,,class,"Vector spaces, One.II.1, Two.I.1",[notes](/files/201/lectures/week02.wednesday.pdf),
2,2024-09-13,,class,"Subspaces & spanning sets, Two.I.2",[HW due](/files/201/hw/week02.pdf) (change .pdf to .tex in the url to get the source code!) ❦ [notes](/files/201/lectures/week02.friday.pdf),
3,2024-09-16,,class,"Linear independence, Two.II.1",[notes](/files/201/lectures/week03.monday.pdf) ❦ [demo](https://cocalc.com/share/9215a24750ad95f1ede6e993b8f3470a3b10ce17/day06.sagews?viewer=share),
3,2024-09-18,,class,"Bases, Two.III.1",[notes](/files/201/lectures/week03.wednesday.pdf),
3,2024-09-20,,class,"Dimension, Two.III.2",[HW due](/files/201/hw/week03.pdf) ❦ [notes](/files/201/lectures/week03.friday.pdf),
4,2024-09-23,,class,"Condorcet's voting paradox, Two.Topic: Voting Paradoxes, Exam 1 distributed via Zulip",[notes](/files/201/lectures/week04.monday.pdf),
4,2024-09-25,,class,"Row space & column space, Two.III.3, Exam 2 due",[notes](/files/201/lectures/week04.wednesday.pdf),
4,2024-09-27,,class,"Linear transformations, Three.II.1",[notes](/files/201/lectures/week04.friday.pdf) ❦ [demo](https://shad.io/MatVis/),
5,2024-09-30,,class,"Image, kernel, & rank-nullity, Three.I.1-2, Three.II.2",[notes](/files/201/lectures/week05.monday.pdf),
5,2024-10-02,,class,"Isomorphisms, Three.I.1-2, Three.II.2",[notes](/files/201/lectures/week05.wednesday.pdf),
5,2024-10-04,,class,"Matrices & linear transformations I, One.II.1, Three.III.2",[HW due](/files/201/hw/week05.pdf) ❦ [notes](/files/201/lectures/week05.friday.pdf),
6,2024-10-07,,class,"Matrices & linear transformations II, Three.III.2",[notes](/files/201/lectures/week06.monday.pdf),
6,2024-10-09,,class,"Matrix inversion, Three.IV.4",[notes](/files/201/lectures/week06.wednesday.pdf),
6,2024-10-11,,class,"Change of basis, Three.V.1-2",[HW due](/files/201/hw/week06.pdf) ❦ [notes](/files/201/lectures/week06.friday.pdf),
7,2024-10-14,,class,"Determinants, Four.I.1-2",[notes](/files/201/lectures/week07.monday.pdf),
7,2024-10-16,,class,"Determinants & transpose, Four.I.1-2",[notes](/files/201/lectures/week07.wednesday.pdf),
7,2024-10-18,,class,"Permutation expansion, Four.I.3",[HW due](/files/201/hw/week07.pdf) ❦ [notes](/files/201/lectures/week07.friday.pdf) ❦ [video](/files/201/lectures/week07.friday.mp4),
8,2024-10-28,,class,"Laplace expansion & $\exists!\det$, Four.III.1",[notes](/files/201/lectures/week08.monday.pdf),
8,2024-10-30,,class,Determinants & volume,[notes](/files/201/lectures/week08.wednesday.pdf),
8,2024-11-01,,class,"Eigenvectors & eigenvalues, Five.II.3",[HW due](/files/201/hw/week08.pdf) ❦ [notes](/files/201/lectures/week08.friday.pdf),
9,2024-11-04,,class,"Diagonalization, Five.II.3",[notes](/files/201/lectures/week09.monday.pdf),
9,2024-11-06,,class,Linear differential equations (optional),[notes](/files/201/lectures/week09.wednesday.pdf),
9,2024-11-08,,class,Algebraic & geometric multiplicity,[HW due](/files/201/hw/week09.pdf) ❦ [notes](/files/201/lectures/week09.friday.pdf),
10,2024-11-11,,class,"Walks on graphs, Exam 2 distributed via Zulip",[notes](/files/201/lectures/week10.monday.pdf),
10,2024-11-13,,class,"Inner product spaces, Exam 2 due via Gradescope",[notes](/files/201/lectures/week10.wednesday.pdf),
10,2024-11-15,,class,"Length, projection, & angles",[notes](/files/201/lectures/week10.friday.pdf),
11,2024-11-18,,class,Gram-Schmidt orthonormalization,[notes](/files/201/lectures/week11.monday.pdf),
11,2024-11-20,,class,Orthogonal complements & projections,[notes](/files/201/lectures/week11.wednesday.pdf) ❦ [desmos](https://www.desmos.com/3d/f0l6azouck),
11,2024-11-22,,class,Least squares,[HW due](/files/201/hw/week11.pdf) ❦ [notes](/files/201/lectures/week11.friday.pdf) ❦ [demos](https://textbooks.math.gatech.edu/ila/least-squares.html),
12,2024-11-25,,class,"Principal component analysis, presentation proposal due (google form on Zulip)",[notes](/files/201/lectures/week12.monday.pdf),
12,2024-11-27,,class,Happy Thanksgiving! 🦃,,
12,2024-11-29,,class,Thanksgiving holiday,,
13,2024-12-02,,class,Presentation prep,,
13,2024-12-04,,class,Presentation prep,,
13,2024-12-06,,class,Presentations,[HW due](/files/201/hw/week13.pdf),
14,2024-12-09,,class,Presentations,,
14,2024-12-11,,class,Presentations,,
14,2024-12-13,,review,Review session 2-3pm in Lib 340,,
finals week,2024-12-16,,final,Final exam distributed,,
finals week,2024-12-18,,final,Final exam due,,
