week,date,display,type,topic,resources,note
1,2026-01-26,,class,,,
1,2026-01-28,,class,,,
1,2026-01-30,,class,,,
2,2026-02-02,,class,,,
2,2026-02-04,,class,,,
2,2026-02-06,,class,,,
3,2026-02-09,,class,,,
3,2026-02-11,,class,,,
3,2026-02-13,,class,,,
4,2026-02-16,,class,,,
4,2026-02-18,,class,,,
4,2026-02-20,,class,,,
5,2026-02-23,,class,,,
5,2026-02-25,,class,,,
5,2026-02-27,,class,,,
6,2026-03-02,,class,,,
6,2026-03-04,,class,,,
6,2026-03-06,,class,,,
7,2026-03-09,,class,,,
7,2026-03-11,,class,,,
7,2026-03-13,,class,,,
8,2026-03-16,,class,,,
8,2026-03-18,,class,,,
8,2026-03-20,,class,,,
spring break,,March 21-29,cancelled,no class,,
9,2026-03-30,,class,,,
9,2026-04-01,,class,,,
9,2026-04-03,,class,,,
10,2026-04-06,,class,,,
10,2026-04-08,,class,,,
10,2026-04-10,,class,,,
11,2026-04-13,,class,,,
11,2026-04-15,,class,,,
11,2026-04-17,,class,,,
12,2026-04-20,,class,,,
12,2026-04-22,,class,,,
12,2026-04-24,,class,,,
13,2026-04-27,,class,,,
13,2026-04-29,,class,,,
13,2026-05-01,,class,,,
finals week,,May 11-14,final,Two-hour final exam to be scheduled by registrar,,
