orig,compressed,path
6505028,4513084,201/lectures/week09.wednesday.pdf
6354914,4681474,201/lectures/week01.friday.pdf
6204067,4578643,111fall24/lectures/week02.wednesday.pdf
6186492,4588257,201/lectures/week02.wednesday.pdf
6169630,4526725,111fall24/lectures/week02.friday.pdf
5939236,4270343,111fall24/lectures/week11.monday.pdf
5938036,4188762,111fall24/lectures/week02.monday.pdf
5932403,4316563,111fall24/lectures/week10.monday.pdf
6072811,13465733,MRC/CatStrClosureOps.pdf
5774451,4252060,411/411_17.pdf
5845307,4263869,111fall24/lectures/week06.monday.pdf
5795314,4251262,111fall24/lectures/week13.wednesday.pdf
5861428,4370343,545/notes/day16.pdf
5707081,4183554,411/411_10.pdf
5756385,4295815,201/lectures/week03.monday.pdf
5681507,4040920,111fall24/lectures/week13.monday.pdf
5567111,3834723,544/notes/day27.pdf
5028034,3673226,411/411_03.pdf
4797837,3529760,111fall24/lectures/week05.friday.pdf
4973610,3652465,111fall24/lectures/week05.monday.pdf
4449834,3225155,411/411_24.pdf
4063214,2879022,411/411_01.pdf
4348776,3003208,111fall24/lectures/week01.friday.pdf
4003318,2939658,111fall24/lectures/week13.friday.pdf
4729997,1071195,583/tda_notes.pdf
3707170,2725770,545/notes/day26.pdf
3796614,2808249,111fall24/lectures/week03.friday.pdf
3555174,2592992,545/notes/day27.pdf
3593737,2611825,411/411_29.pdf
3274666,2368504,111fall24/lectures/week10.wednesday.pdf
2298627,1676424,411/411_18.pdf
1620082,1621402,545/notes/day20.pdf
1160227,47714,113spring26/31-group-sol.pdf
2962212,2055821,544/notes/day01.pdf
1136786,38959,113spring26/31-group.pdf
3404887,1528265,3800SEWoodward_flyer.pdf
498892,249984,111fall24/hw/week09.pdf
2795206,6057374,dress_bielefeld.pdf
401125,44129,111fall24/hw/week03.pdf
347212,67110,201/hw/week08.pdf
890293,440433,A1Milnor.pdf
753380,522063,quadratic_TNR.pdf
325454,49586,411/week04.pdf
345678,294339,CMRG_2024_poster.pdf
323471,37951,113spring26/04-group-sol.pdf
420510,228081,113spring26/writing.pdf
318014,32173,113spring26/04-group.pdf
317630,50952,201/hw/week05.pdf
317189,47493,201/hw/week06.pdf
314961,42931,111fall25/hw/week05.pdf
312980,49701,411/411syllabus.pdf
310761,45280,201/hw/week03.pdf
312413,61309,111fall25/111F01F02_syllabus.pdf
309775,46580,201/hw/week07.pdf
309300,42051,411/week05.pdf
309514,50853,111fall24/111F06_syllabus.pdf
305921,48124,411/midterm.pdf
317464,329250,holim_KO.pdf
304947,45376,411/week09.pdf
300947,38199,411/week02.pdf
303520,57738,113spring26/113_syllabus.pdf
303268,54053,583/583Bsyllabus.pdf
299810,46054,201/201F02_syllabus.pdf
297247,39276,411/week03.pdf
292910,50142,201/hw/week11.pdf
288189,38962,201/hw/week02.pdf
287422,36532,111fall25/hw/week07.pdf
285476,32865,411/week11.pdf
285040,35627,201/hw/week09.pdf
282324,33998,111fall24/hw/week10.pdf
277785,34006,111fall25/hw/week11.pdf
297047,286570,algClosedMotivicHomotopy.pdf
277302,30625,111fall24/hw/week02.pdf
283029,84572,113spring26/21-group-sol.pdf
276359,34848,111fall25/hw/week03.pdf
276224,28070,411/week06.pdf
273886,32327,411/week08.pdf
273150,31903,111fall24/hw/week05.pdf
272540,32023,111fall24/hw/week06.pdf
267437,34118,583/projects.pdf
254910,35335,111fall25/hw/week09.pdf
264977,33976,411/project.pdf
249842,24237,111fall24/hw/week13.pdf
244402,24764,111fall24/hw/week14.pdf
242900,22266,201/hw/week13.pdf
219367,46955,113spring26/07-group-sol.pdf
239037,98154,Ninfty.pdf
214140,166914,113spring26/09-group-sol.pdf
210795,37329,113spring26/07-group.pdf
199936,150647,113spring26/09-group.pdf
192057,42475,545/hw/week03.pdf
189587,120699,113spring26/03-group-sol.pdf
186753,55527,113spring26/30-group-sol.pdf
254890,283490,tr_rank_two.pdf
190036,158569,convergence_mASS.pdf
172438,46999,113spring26/30-group.pdf
181683,113203,MRC/closure.pdf
152785,101975,113spring26/02-group-sol.pdf
146668,45726,545/notes/handout01W.pdf
134965,70567,ormsby-cv-2026.pdf
132336,89346,113spring26/02-group.pdf
130369,39929,544/hw/week10.pdf
131694,66433,cv_ormsby.pdf
129530,40135,545/hw/final_practice.pdf
127130,40432,113spring26/exam3_practice.pdf
127109,41842,546/final_practice.pdf
127066,34379,544/hw/week08.pdf
124757,42597,545/notes/handout10W.pdf
124689,46232,546/notes/handout01M.pdf
118974,35956,545/hw/week07.pdf
120332,41439,113spring26/26-group-sol.pdf
115864,35046,546/hw/week07.pdf
114439,37760,546/hw/week08.pdf
115749,36373,113spring26/26-group.pdf
113318,38213,113spring26/exam1_practice.pdf
111016,38340,545/hw/week04.pdf
110921,39341,544/notes/handout10F.pdf
110896,34030,546/hw/week05.pdf
112263,63971,113spring26/06-group-sol.pdf
110747,45751,224/224syllabus.pdf
110395,27704,113spring26/35-hw.pdf
109551,37380,544/hw/week04.pdf
108920,26555,113spring26/34-hw.pdf
109139,33409,546/hw/week09.pdf
107506,31706,544/notes/handout01W.pdf
108763,30800,113spring26/07-hw.pdf
106772,39023,113spring26/18-hw.pdf
106494,35552,546/hw/week02.pdf
106526,31941,113spring26/04-hw.pdf
106721,30767,113spring26/25-hw.pdf
106103,34092,546/hw/week03.pdf
105324,34390,545/hw/week02.pdf
105340,34572,546/hw/week04.pdf
105074,27785,113spring26/23-hw.pdf
104641,33822,544/hw/week03.pdf
103168,33224,545/hw/week09.pdf
102919,32449,544/hw/week05.pdf
104060,38443,113spring26/finalexam_practice.pdf
101966,30187,113spring26/12-hw.pdf
101457,32482,545/hw/week10.pdf
100330,34299,545/hw/week05.pdf
99754,22418,113spring26/32-hw.pdf
98824,30051,113spring26/08-hw.pdf
97927,49364,544/544syllabus.pdf
97373,48387,545/545syllabus.pdf
96429,32091,544/hw/week07.pdf
96525,44517,113spring26/25-group-sol.pdf
94659,29856,544/hw/week11.pdf
96134,47335,546/546syllabus.pdf
96153,38920,113spring26/35-group-sol.pdf
94578,23242,113spring26/30-hw.pdf
92369,24816,113spring26/27-hw.pdf
91766,21420,113spring26/31-hw.pdf
91161,29024,544/hw/final_practice.pdf
91401,29527,113spring26/22-hw.pdf
89553,29907,544/hw/week02.pdf
89130,24408,113spring26/exam2_practice.pdf
89351,41966,113spring26/08-group-sol.pdf
89047,35429,113spring26/28-group-sol.pdf
88669,24311,113spring26/06-hw.pdf
88296,30854,113spring26/08-group.pdf
85111,24086,113spring26/exam3_instructions.pdf
85974,42519,113spring26/18-group-sol.pdf
83393,27085,545/hw/week08.pdf
82920,35668,113spring26/13-group-sol.pdf
81537,49696,113spring26/reading.pdf
81444,30053,113spring26/29-group-sol.pdf
82030,70643,113spring26/17-group-sol.pdf
81408,31802,113spring26/22-group-sol.pdf
80542,26014,113spring26/26-hw.pdf
81175,22642,113spring26/33-hw.pdf
79926,36805,113spring26/24-group-sol.pdf
80500,77025,113spring26/15-group-sol.pdf
79875,21148,113spring26/36-hw.pdf
78653,51054,113spring26/17-hw.pdf
78651,33890,113spring26/34-group-sol.pdf
78251,29549,113spring26/21-hw.pdf
78601,37120,113spring26/12-group-sol.pdf
77915,34680,113spring26/06-group.pdf
77795,42852,113spring26/03-group.pdf
76892,31838,113spring26/23-group-sol.pdf
74886,32466,113spring26/27-group-sol.pdf
74607,26211,113spring26/35-group.pdf
73980,25346,113spring26/01-hw.pdf
73955,25732,113spring26/02-hw.pdf
72060,27439,113spring26/36-group-sol.pdf
71431,27725,113spring26/22-group.pdf
69799,19120,113spring26/29-hw.pdf
68661,31149,113spring26/16-group-sol.pdf
68645,28530,113spring26/15-hw.pdf
67653,22353,113spring26/34-group.pdf
68274,30279,113spring26/33-group-sol.pdf
67604,23385,113spring26/32-group-sol.pdf
67220,21019,113spring26/09-hw.pdf
66819,20939,113spring26/13-hw.pdf
66925,43032,113spring26/15-group.pdf
66439,20555,113spring26/24-hw.pdf
66658,26917,113spring26/18-group.pdf
66254,19536,113spring26/exam1_instructions.pdf
65867,28609,113spring26/25-group.pdf
65335,19077,113spring26/finalexam_instructions.pdf
65606,29267,113spring26/12-group.pdf
65169,19079,113spring26/exam2_instructions.pdf
65156,20247,113spring26/29-group.pdf
64193,19293,113spring26/03-hw.pdf
62964,22879,113spring26/23-group.pdf
62055,23617,113spring26/27-group.pdf
61893,23852,113spring26/14-group-sol.pdf
61702,22810,113spring26/33-group.pdf
62500,33972,113spring26/21-group.pdf
59954,20121,113spring26/16-hw.pdf
58903,24678,113spring26/24-group.pdf
58480,19285,113spring26/14-hw.pdf
58365,19766,113spring26/36-group.pdf
58244,20697,113spring26/14-group.pdf
57226,20942,113spring26/28-group.pdf
55720,18221,113spring26/32-group.pdf
54925,23018,113spring26/05-group.pdf
53273,28297,113spring26/17-group.pdf
51707,16181,113spring26/28-hw.pdf
50356,18363,113spring26/13-group.pdf
46520,22055,113spring26/16-group.pdf
44647,17655,113spring26/05-hw.pdf
51422,20748,113spring26/01-group.pdf
40617,16561,113spring26/exam3_revision.pdf
39065,16620,113spring26/exam2_revision.pdf
38830,16502,113spring26/exam1_revision.pdf
